inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
pancreatic A cell,SRR3563470,GSM2173140 1,bb1e3509-216b-4eb5-85d9-de07b4092ead
acinar cell,SRR3563471,GSM2173141 1,3e6782cf-3334-4602-92f9-a49ddf6dcaec
not available,SRR3563472,GSM2173142 1,668dece5-7fa7-48bd-a85a-d34112379cd5
pancreatic A cell,SRR3563473,GSM2173143 1,f213c1fe-1b1c-44a2-99fe-e97e6d04000c
pancreatic A cell,SRR3563474,GSM2173144 1,1600deba-90b8-423d-a4aa-7a740a302575
pancreatic A cell,SRR3563475,GSM2173145 1,5ed4d5cd-3e7f-4f62-b9ef-45497969ff3a
pancreatic A cell,SRR3563476,GSM2173146 1,9a2f4ff7-90ff-4625-85b5-fa68401f7feb
pancreatic A cell,SRR3563477,GSM2173147 1,82a48e91-b07d-4da5-af07-a84c124c5982
pancreatic A cell,SRR3563478,GSM2173148 1,05b47dc0-9759-4da7-b0bf-dca624557724
pancreatic A cell,SRR3563479,GSM2173149 1,0c5fbbc4-bbe3-4255-b3c6-a1da66cabe9f
acinar cell,SRR3563480,GSM2173150 1,39739795-4e1d-4cef-91d9-09ef24f14b15
type B pancreatic cell,SRR3563481,GSM2173151 1,c2e8b6d5-0b89-4ae3-b0c4-93fec93a46cc
pancreatic ductal cell,SRR3563482,GSM2173152 1,ed7f6fc6-2508-4061-a5f5-2aa553119a04
pancreatic A cell,SRR3563483,GSM2173153 1,93aed1b5-4353-451f-95d9-94f841fdba69
pancreatic D cell,SRR3563484,GSM2173154 1,6f03b167-4968-4daa-ae6e-5c5bec3dbdc1
acinar cell,SRR3563485,GSM2173155 1,303f29f5-8d8a-4c71-a9c2-802cf4277572
pancreatic A cell,SRR3563486,GSM2173156 1,a05e78bb-ab8e-4d7d-a553-d0d7ba63a709
type B pancreatic cell,SRR3563487,GSM2173157 1,dc78e438-71ca-47ba-98b5-392d3c1c9cac
type B pancreatic cell,SRR3563488,GSM2173158 1,714d1e9a-34d5-4b84-9084-0c9ec7bdd813
acinar cell,SRR3563489,GSM2173159 1,1186b52d-8f58-4512-b8c3-f9fb29e71b45
pancreatic A cell,SRR3563490,GSM2173160 1,78c4ef67-5bc2-4c14-8a7a-b7e3ca3575b2
pancreatic A cell,SRR3563491,GSM2173161 1,9d3fb9d1-a8a3-4e84-9153-5d65d3c398a6
pancreatic A cell,SRR3563492,GSM2173162 1,2642a629-9f7f-4d29-b36d-d30f81820934
pancreatic A cell,SRR3563493,GSM2173163 1,959ed6cf-b169-4489-980b-35c71be08bbd
type B pancreatic cell,SRR3563494,GSM2173164 1,8fae5e23-269d-46d8-8927-fcf025d297ac
acinar cell,SRR3563495,GSM2173165 1,934eb43e-de3d-4226-b661-9382486c8a8e
pancreatic A cell,SRR3563496,GSM2173166 1,c90e40fe-65ba-4a5b-8529-9b8db60a2258
pancreatic A cell,SRR3563497,GSM2173167 1,34e3cd8a-3da5-4329-bd29-e98b6a59ea45
type B pancreatic cell,SRR3563498,GSM2173168 1,8968c57f-d885-41c8-9d5e-b51c518b3e01
type B pancreatic cell,SRR3563499,GSM2173169 1,131dff3c-7a64-4073-841d-329225a44ae7
pancreatic A cell,SRR3563500,GSM2173170 1,1a43e777-2bee-42a4-ada2-058c67b07c65
acinar cell,SRR3563501,GSM2173171 1,be177b15-21c3-40b2-94cd-a73d3e991ca7
not available,SRR3563502,GSM2173172 1,86a2100a-3706-4f8f-b2f4-ceb6387c92d0
type B pancreatic cell,SRR3563503,GSM2173173 1,0c06c95f-ce0c-4772-8c61-ef3a88b9549b
not available,SRR3563504,GSM2173174 1,7c412c34-cebd-494e-a63c-210af27fb308
acinar cell,SRR3563505,GSM2173175 1,b8876a57-eb85-4942-949a-919a73844306
acinar cell,SRR3563506,GSM2173176 1,a195fc6f-6459-4bba-afdc-3473a2f1aebb
pancreatic A cell,SRR3563507,GSM2173177 1,3d30f194-abf1-4b31-90d7-4430a478e285
acinar cell,SRR3563508,GSM2173178 1,93dd1314-80ee-4b39-bbfd-6c1bca512282
pancreatic A cell,SRR3563509,GSM2173179 1,8d9a3826-eebb-407e-93de-2cb6b7cf73f3
not available,SRR3563510,GSM2173180 1,318ee1ea-d0a5-4079-9da2-ed48bd85bf37
pancreatic A cell,SRR3563511,GSM2173181 1,07e2d9d1-47e8-483f-b9af-796c9b6403fc
type B pancreatic cell,SRR3563512,GSM2173182 1,c25c41dd-3e12-4aae-8292-48b459ddbfb9
pancreatic A cell,SRR3563513,GSM2173183 1,76370a14-a93c-4b8e-86a8-d98b2a274e11
pancreatic A cell,SRR3563514,GSM2173184 1,b5b43e05-ccde-42a2-8f35-01554719969d
pancreatic A cell,SRR3563515,GSM2173185 1,4ae03130-8c31-41f1-a4c7-b7641fbb0823
acinar cell,SRR3563516,GSM2173186 1,d9ca9612-f05a-49d8-a4cf-b573818138c3
type B pancreatic cell,SRR3563517,GSM2173187 1,772b786a-e825-4782-b269-0dc65b647ec3
type B pancreatic cell,SRR3563518,GSM2173188 1,88789bdf-81db-42d8-a531-2c50020c9549
not available,SRR3563519,GSM2173189 1,e64c8143-15ee-4605-a81c-c43373442b63
not available,SRR3563520,GSM2173190 1,11d1e527-61a7-4398-b314-f159f8b19ec1
type B pancreatic cell,SRR3563521,GSM2173191 1,71814d76-9a44-45ee-9194-1b3881ad5b5f
acinar cell,SRR3563522,GSM2173192 1,48473ecc-62d1-413e-8e53-f70ead220f1c
type B pancreatic cell,SRR3563523,GSM2173193 1,98d8b8b9-b085-491f-a7a8-6a09f34444fb
type B pancreatic cell,SRR3563524,GSM2173194 1,f6d05da1-003a-4736-945a-ad6a22d00ee1
acinar cell,SRR3563525,GSM2173195 1,c31778cc-f72f-40c6-b0be-4a0d086dcbda
not available,SRR3563526,GSM2173196 1,6f60f2aa-92b9-4085-bc86-48cb1a2decb8
pancreatic A cell,SRR3563527,GSM2173197 1,4ac07e3c-e217-4bee-a39e-4388fc9d5b11
pancreatic A cell,SRR3563528,GSM2173198 1,a11f9e76-4775-4d98-a7e5-01efa1d7072e
pancreatic A cell,SRR3563529,GSM2173199 1,b76751e6-4759-4352-bee9-c674593a24ed
pancreatic A cell,SRR3563530,GSM2173200 1,5684d3ea-4d6b-4929-a113-0a41444b308c
pancreatic A cell,SRR3563531,GSM2173201 1,190eafb6-b24c-4a9b-bd2e-d354cdb1621e
pancreatic A cell,SRR3563532,GSM2173202 1,5498a615-6210-4048-972a-9fd16f78c3dd
not available,SRR3563533,GSM2173203 1,cd8502d1-c7f9-41c8-addd-45a921ec0efe
pancreatic A cell,SRR3563534,GSM2173204 1,b7d44dfa-5e19-403e-86b4-cd977e8f8dae
pancreatic A cell,SRR3563535,GSM2173205 1,ab1ef9bc-2fe1-41a4-bd9c-ae191889ae48
pancreatic A cell,SRR3563536,GSM2173206 1,3e784423-7cb9-48e9-a9b8-f127d6bad2c7
acinar cell,SRR3563537,GSM2173207 1,68834964-9286-4172-a1a4-050901e3ef81
pancreatic A cell,SRR3563538,GSM2173208 1,d0229d6e-ffda-4071-9ec9-330236412f7e
pancreatic D cell,SRR3563539,GSM2173209 1,108236d8-1eb1-429b-af3a-0b5346477718
acinar cell,SRR3563540,GSM2173210 1,50d51da7-1751-4cfd-95dc-a19b9b1c89f5
not available,SRR3563541,GSM2173211 1,aba50c40-5f17-4ef6-b2b5-8302f09b469e
pancreatic A cell,SRR3563542,GSM2173212 1,657d6f1e-c907-4b13-b3c1-2628e69e2c1c
type B pancreatic cell,SRR3563543,GSM2173213 1,1a30e123-04d1-437b-8641-c3e07474774e
pancreatic A cell,SRR3563544,GSM2173214 1,f81ff7ec-165a-4739-b027-39aa4e084d8e
pancreatic A cell,SRR3563545,GSM2173215 1,4dab38a7-60f2-4819-b3ce-6ee3b4e6518a
not available,SRR3563546,GSM2173216 1,2538c479-76af-4b49-997a-45337f428c2a
pancreatic A cell,SRR3563547,GSM2173217 1,ed89d2aa-b557-4042-9d7f-7b9e91f466c9
not available,SRR3563548,GSM2173218 1,7a3be274-7056-4b47-8e65-01df36d57971
pancreatic A cell,SRR3563549,GSM2173219 1,8227934a-68d2-4942-a3ae-74c413ead40f
not available,SRR3563550,GSM2173220 1,84605a88-04c2-4c10-92dc-5592a62e610d
pancreatic A cell,SRR3563551,GSM2173221 1,fdc947ba-3b6e-4f46-8730-e12f5b5ec82d
not available,SRR3563552,GSM2173222 1,bd2049f1-5c55-4b20-be10-4499631ef92f
type B pancreatic cell,SRR3563553,GSM2173223 1,5c6cd23a-21a5-4c57-8eed-fd0790551454
type B pancreatic cell,SRR3563554,GSM2173224 1,976567e8-df9d-476b-be13-524ee61136cc
acinar cell,SRR3563555,GSM2173225 1,e2644a1a-4b96-4bdf-bacb-7ac67914b06d
mesenchymal cell,SRR3563556,GSM2173226 1,c3c2ae46-f2f4-4e22-b515-818b8dee619d
type B pancreatic cell,SRR3563557,GSM2173227 1,7605460a-9deb-49d5-b8a1-ef105a42bc44
pancreatic A cell,SRR3563558,GSM2173228 1,57b4efa6-3b99-4b2b-9d56-0eb3aea0b5c6
pancreatic A cell,SRR3563559,GSM2173229 1,37fd05e0-e18a-459b-aa3a-2292cd3c4b71
pancreatic A cell,SRR3563560,GSM2173230 1,30d412a9-273f-4518-bd91-4115e79a962c
not available,SRR3563561,GSM2173231 1,f7cea919-6d60-4197-9c40-ae6edd72bdc4
type B pancreatic cell,SRR3563562,GSM2173232 1,5834ae47-5fe6-4e81-938d-502d061b31a5
type B pancreatic cell,SRR3563563,GSM2173233 1,5f9e2945-6955-479a-9a91-ef8a5f2445bb
pancreatic A cell,SRR3563564,GSM2173234 1,782e3d67-a9c6-4845-87d1-84acf545335c
type B pancreatic cell,SRR3563565,GSM2173235 1,ff640ed7-9513-4013-a8fe-dabdef0e739a
pancreatic A cell,SRR3563566,GSM2173236 1,38d04d27-7c6f-43e8-b6b4-98d7aca32f04
pancreatic A cell,SRR3563567,GSM2173237 1,9ec8ac13-36a2-44e4-8b0f-69c4cc23a175
not available,SRR3563568,GSM2173238 1,1063e639-f0ab-42b9-91f2-d90789029d1b
acinar cell,SRR3563569,GSM2173239 1,202f3bbd-e568-4648-8df2-be527ed59c9f
acinar cell,SRR3563570,GSM2173240 1,5eb6641c-2366-42b2-963f-d18ccfad82f8
pancreatic A cell,SRR3563571,GSM2173241 1,a58d5ba4-82b3-46f8-88fa-a57c65e3a249
type B pancreatic cell,SRR3563572,GSM2173242 1,344f7710-a0fc-4682-8131-fdeffa7c00f7
type B pancreatic cell,SRR3563573,GSM2173243 1,ed9549b7-9f2d-4285-9024-32cc218ddea2
type B pancreatic cell,SRR3563574,GSM2173244 1,a37af500-f890-4d2c-a675-61e7b62e0bb0
pancreatic A cell,SRR3563575,GSM2173245 1,797d1c87-9dfe-4185-b41f-b46a9afdac57
acinar cell,SRR3563576,GSM2173246 1,8b1d9e1f-2bbc-4bda-b575-2136387942ef
type B pancreatic cell,SRR3563577,GSM2173247 1,adae3d85-8471-4139-8b23-68c6e72e044e
pancreatic A cell,SRR3563578,GSM2173248 1,5755cfbb-9de7-443d-94ff-2a0522151eba
pancreatic A cell,SRR3563579,GSM2173249 1,854ba388-4049-4482-98dd-7112ab2b3dfd
type B pancreatic cell,SRR3563580,GSM2173250 1,9b8eb7bd-fb3f-4ee8-b5a5-1fce2e71089e
acinar cell,SRR3563581,GSM2173251 1,4fb7467b-72bc-46c0-856f-ed65497584ca
pancreatic A cell,SRR3563582,GSM2173252 1,f82f5a9e-2e21-41cf-a7f8-2d109dadddbe
type B pancreatic cell,SRR3563583,GSM2173253 1,3c4aad4a-e796-40c3-acf0-4eb56f3bc032
pancreatic A cell,SRR3563584,GSM2173254 1,3f4acadf-3fe8-4861-b585-792424802ca0
pancreatic A cell,SRR3563585,GSM2173255 1,2a9c2aea-1d71-4e9e-ab38-4571b861021e
pancreatic A cell,SRR3563586,GSM2173256 1,9e74c446-1464-453f-a6d5-852f69f19ff6
not available,SRR3563587,GSM2173257 1,b8e1fbae-0108-4bd5-8e28-9870f292a0f1
type B pancreatic cell,SRR3563588,GSM2173258 1,ac6ffbff-a0ac-4e82-b060-9e21f5f54210
acinar cell,SRR3563589,GSM2173259 1,7883dc2f-3f3e-48ee-b2cd-ae5649923fb5
pancreatic A cell,SRR3563590,GSM2173260 1,35778695-4cdb-4f28-a775-926f273c56f3
acinar cell,SRR3563591,GSM2173261 1,e98c99ca-89de-4afc-9c29-cda1d3463ae9
pancreatic A cell,SRR3563592,GSM2173262 1,d244fc07-7ab4-4ab5-9140-035de6904ebf
type B pancreatic cell,SRR3563593,GSM2173263 1,ff87185e-d6b0-467b-b152-3ee7f0fc68a4
type B pancreatic cell,SRR3563594,GSM2173264 1,9325dbce-c59d-4918-bd21-5d3bd43bf5fa
pancreatic A cell,SRR3563595,GSM2173265 1,f11482a6-a323-4eaf-bef2-f4ef0acf98ef
not available,SRR3563596,GSM2173266 1,671fd01e-5d2b-451a-80c8-ca184c850ff9
not available,SRR3563597,GSM2173267 1,c6a04130-7cc4-4c23-a794-8d061d608850
pancreatic A cell,SRR3563598,GSM2173268 1,74be927f-cddc-48d4-ac4d-88c836a8fc5f
not available,SRR3563599,GSM2173269 1,dff74d6c-d0fe-438c-83a2-f7ba1e062505
pancreatic A cell,SRR3563600,GSM2173270 1,f4b87424-ebdb-4139-b08a-19f2b9da4b82
pancreatic A cell,SRR3563601,GSM2173271 1,1e861b2a-81f1-4609-9c6a-af90097a816b
acinar cell,SRR3563602,GSM2173272 1,e57c9fe7-70f4-4751-8c12-96a1b7c4eced
pancreatic A cell,SRR3563603,GSM2173273 1,e8d5ccb1-a52d-4324-bce8-fbba59a7bcaf
type B pancreatic cell,SRR3563604,GSM2173274 1,1a801bb5-5b75-4f23-b4b3-f4d8630c95b5
type B pancreatic cell,SRR3563605,GSM2173275 1,13459cdf-bfb3-41d8-ae6f-eb11fcf26191
acinar cell,SRR3563606,GSM2173276 1,364cee98-928b-4260-8140-df9c9d825588
type B pancreatic cell,SRR3563607,GSM2173277 1,4b6a07e0-08cb-46a9-8e09-586bcb77c967
not available,SRR3563608,GSM2173278 1,0e0c2fdd-aeee-439d-a2f2-c7385803161a
not available,SRR3563609,GSM2173279 1,7ce96012-4fe6-414b-844e-e461da4f5383
not available,SRR3563610,GSM2173280 1,1912b17a-df2a-4627-a0a4-5ce668934c6d
type B pancreatic cell,SRR3563611,GSM2173281 1,7cfba5c9-f7ec-48be-aa23-f206a4c58f3b
pancreatic A cell,SRR3563612,GSM2173282 1,98680fbe-ecc4-434f-876f-18c75e240f29
acinar cell,SRR3563613,GSM2173283 1,cc384e57-3dca-4f18-9e71-02281bd89b38
acinar cell,SRR3563614,GSM2173284 1,94343741-d76e-47cd-83e5-c068c20d68c9
pancreatic A cell,SRR3563615,GSM2173285 1,714b762a-dbe2-4e84-8f06-f17d2cc23248
acinar cell,SRR3563616,GSM2173286 1,6d6df47b-ed41-4a11-9d34-c12fd8877761
type B pancreatic cell,SRR3563617,GSM2173287 1,66ceeaa7-2c96-4d8c-9520-4d374a4efa15
pancreatic A cell,SRR3563618,GSM2173288 1,7e4d853e-1a7e-451f-b46e-8948783ebf9d
pancreatic A cell,SRR3563619,GSM2173289 1,e28dc5c1-a392-4bea-aeda-3c2236e6d5cb
pancreatic A cell,SRR3563620,GSM2173290 1,e09e9be0-88d9-43b3-95bb-b1dad06699f7
acinar cell,SRR3563621,GSM2173291 1,f1bfc58c-840b-483d-a6d8-65cb8cf7feaf
not available,SRR3563622,GSM2173292 1,1a51005c-7713-4c23-8113-c2d78c4dae75
acinar cell,SRR3563623,GSM2173293 1,c8072344-0851-4b5d-8751-9f3ad7facb9f
pancreatic A cell,SRR3563624,GSM2173294 1,7487a864-5031-4675-bb2d-d18bccb55831
type B pancreatic cell,SRR3563625,GSM2173295 1,6f2c826a-3132-42b0-9cc7-1296f57ba5bc
pancreatic A cell,SRR3563626,GSM2173296 1,265a7435-e4b5-4343-b2b2-9d61ac432574
acinar cell,SRR3563627,GSM2173297 1,0d4a2fe7-9f86-46be-ab54-f5d9e5c055d5
type B pancreatic cell,SRR3563628,GSM2173298 1,b220d5b6-57a2-4698-a522-fd543ba7b8e5
acinar cell,SRR3563629,GSM2173299 1,4e55e28e-b81e-4642-a80a-429a15bcf8a5
type B pancreatic cell,SRR3563630,GSM2173300 1,b47e2fe3-6617-4040-9791-097778dfe885
pancreatic A cell,SRR3563631,GSM2173301 1,e684a261-92bb-4d46-a0f9-5b82568136e7
pancreatic A cell,SRR3563632,GSM2173302 1,7064bfb2-0c50-42d9-b286-d7dbce99d77f
type B pancreatic cell,SRR3563633,GSM2173303 1,25a6a101-e88c-46fc-9a27-7268eab4225e
pancreatic A cell,SRR3563634,GSM2173304 1,810932cc-c963-4754-86c5-d34aaecef8a2
pancreatic A cell,SRR3563635,GSM2173305 1,f0824d74-45fc-4238-aa3a-d86841347e3d
pancreatic A cell,SRR3563636,GSM2173306 1,1172867a-802c-4015-8434-5d97fd244571
type B pancreatic cell,SRR3563637,GSM2173307 1,ec592c69-ced2-4bf4-abf1-50bd48d6df5e
type B pancreatic cell,SRR3563638,GSM2173308 1,93d5ff6c-646c-47a9-80e1-c01a921e79c1
not available,SRR3563639,GSM2173309 1,d84ae703-5749-4362-adfe-59356752e7d5
type B pancreatic cell,SRR3563640,GSM2173310 1,a2c35a8c-bb94-4481-bafc-c0c1fd09c8c4
acinar cell,SRR3563641,GSM2173311 1,aa4c235a-ad67-4b98-92ca-661e25a623b7
acinar cell,SRR3563642,GSM2173312 1,5a309867-ff58-4d2c-9e45-6bf915cf0e0f
pancreatic A cell,SRR3563643,GSM2173313 1,a47ddd37-4d99-47c6-89ef-f8c648413fba
not available,SRR3563644,GSM2173314 1,bde23fe0-952e-4c85-afa7-a305018bdd3a
acinar cell,SRR3563645,GSM2173315 1,31874451-ab53-4a32-9538-93e26bf812a9
not available,SRR3563646,GSM2173316 1,7cc4e681-6d92-4799-a43f-662121aaf4a1
pancreatic A cell,SRR3563647,GSM2173317 1,ed4223a4-4c3e-4257-94e8-14f46bda477b
type B pancreatic cell,SRR3563648,GSM2173318 1,adf6c1f5-f624-48f4-ac50-23811f92d71a
pancreatic A cell,SRR3563649,GSM2173319 1,c164e248-de47-4538-b20a-7cac5def8f6d
acinar cell,SRR3563650,GSM2173320 1,3b964cf8-66f2-49b3-af54-0717ce4242b4
acinar cell,SRR3563651,GSM2173321 1,b40e1fe0-e3b6-4993-bf3e-f39d796dd71b
acinar cell,SRR3563652,GSM2173322 1,8296a573-6b81-4ee6-aa22-998c7cfcfe36
type B pancreatic cell,SRR3563653,GSM2173323 1,989b856e-c89a-40ad-8c9d-5444ade0e504
not available,SRR3563654,GSM2173324 1,c49f1603-bc71-4413-b69d-fcd02707e47c
pancreatic A cell,SRR3563655,GSM2173325 1,f108ea38-eaa5-466a-a8cd-4ee06aa3dcf2
pancreatic A cell,SRR3563656,GSM2173326 1,c30650dc-7b23-41db-8746-c88a70bbf574
pancreatic A cell,SRR3563657,GSM2173327 1,30c6575c-f52b-405e-8f79-0e5196d3682d
type B pancreatic cell,SRR3563658,GSM2173328 1,3f27c841-b603-4eb5-b1fc-a1795d8b00f0
pancreatic A cell,SRR3563659,GSM2173329 1,7d6b2d71-7782-44cc-830e-bd861833d7a9
acinar cell,SRR3563660,GSM2173330 1,8c4e1df1-4001-4f3f-adfa-1eed4d5dda85
pancreatic A cell,SRR3563661,GSM2173331 1,dad8bdf9-01e0-4828-abdd-ce0d320b0022
pancreatic ductal cell,SRR3563662,GSM2173332 1,3432db34-6479-4d98-a6a3-297019c397b5
pancreatic ductal cell,SRR3563663,GSM2173333 1,b7e41eba-dd58-4eee-a24e-8a7b82a0ec57
not available,SRR3563664,GSM2173334 1,e2b40f24-5ba5-4c89-b8aa-8b4614b6393e
pancreatic A cell,SRR3563665,GSM2173335 1,fb32c1d0-5560-4a4c-ab32-60567c0f70e3
pancreatic ductal cell,SRR3563666,GSM2173336 1,90fe298f-bbcf-4f28-b46b-3346ec268d50
pancreatic ductal cell,SRR3563667,GSM2173337 1,849e7424-c21f-44c4-ad07-889683426786
pancreatic A cell,SRR3563668,GSM2173338 1,59548b3a-4d1c-4449-b23d-58aea6409e7a
pancreatic ductal cell,SRR3563669,GSM2173339 1,979f0e81-7dd7-4be5-beb0-25a967455ff4
pancreatic ductal cell,SRR3563670,GSM2173340 1,4a9f4bdc-607c-4e68-b83c-14f25157e2b2
pancreatic ductal cell,SRR3563671,GSM2173341 1,841bdc92-14fe-4c08-a1b6-b607cad9e525
pancreatic ductal cell,SRR3563672,GSM2173342 1,89b63fd0-9022-4611-93a1-251ad72f5dc1
pancreatic ductal cell,SRR3563673,GSM2173343 1,71155e9f-2613-4f6c-91a1-c2c6ee64b43f
pancreatic A cell,SRR3563674,GSM2173344 1,eaf542a0-d10f-412b-b576-e71deeb0e77e
pancreatic ductal cell,SRR3563675,GSM2173345 1,7e4fc9c4-84a7-4a5e-bc17-ec6ba9524b82
pancreatic ductal cell,SRR3563676,GSM2173346 1,0fbcb09d-9543-4c92-93ce-fb06e5b38c22
pancreatic A cell,SRR3563677,GSM2173347 1,5c319761-2ee2-42e5-b3ea-12249aa2e7ba
pancreatic ductal cell,SRR3563678,GSM2173348 1,11159f22-dff4-4093-924f-ba31db836613
pancreatic ductal cell,SRR3563679,GSM2173349 1,85ea2735-5a00-4ab9-aaf6-06992f9d3440
pancreatic A cell,SRR3563680,GSM2173350 1,704332f0-542f-4529-aff5-4d0f6deb733a
pancreatic A cell,SRR3563681,GSM2173351 1,3131b397-a134-477d-94ad-17198a76840b
pancreatic A cell,SRR3563682,GSM2173352 1,323a51ec-b3ed-4557-9b32-a224b91a5a17
pancreatic ductal cell,SRR3563683,GSM2173353 1,3804f4c9-712f-4bcb-bb2b-c16d012fef53
pancreatic A cell,SRR3563684,GSM2173354 1,77cb5a3d-f8f8-4496-8814-1d149f79b729
pancreatic ductal cell,SRR3563685,GSM2173355 1,d713f3e7-21e6-4c11-a057-a6212e3b525b
pancreatic ductal cell,SRR3563686,GSM2173356 1,8a8d8134-a989-4c9d-80db-ab449ee2ea31
pancreatic ductal cell,SRR3563687,GSM2173357 1,c702295c-b6f3-459f-9095-8c8770e40e7d
pancreatic ductal cell,SRR3563688,GSM2173358 1,bd4fc77a-95e4-4ba9-9d8a-9b10d03d95f3
pancreatic A cell,SRR3563689,GSM2173359 1,29af7624-2eca-43e3-9729-1f65cb2c0e95
pancreatic ductal cell,SRR3563690,GSM2173360 1,813fd971-6221-4ee2-834f-18b97db3f27a
pancreatic A cell,SRR3563691,GSM2173361 1,1384a247-11d0-46d1-90c8-67fcc0f85428
pancreatic ductal cell,SRR3563692,GSM2173362 1,2cbfbde6-781b-4335-a7d0-621824e5da2b
pancreatic A cell,SRR3563693,GSM2173363 1,ab5ed3f0-4757-4dba-9e75-ad34c4805094
pancreatic ductal cell,SRR3563694,GSM2173364 1,107d1bf3-aa7a-4da5-b994-b052ec6eeafa
pancreatic ductal cell,SRR3563695,GSM2173365 1,818586e0-61ff-4c90-b418-312e7f90a710
type B pancreatic cell,SRR3563696,GSM2173366 1,b6e74968-2d77-46e9-a30f-f71bf0c8ddba
pancreatic ductal cell,SRR3563697,GSM2173367 1,b9868418-1d28-43bd-befa-f79c26f42afa
pancreatic A cell,SRR3563698,GSM2173368 1,1b039ca2-0348-4108-bae5-e44b25d9c58f
pancreatic ductal cell,SRR3563699,GSM2173369 1,98302dc6-4c93-43b6-a670-be1e589fb3a9
pancreatic ductal cell,SRR3563700,GSM2173370 1,7f80d286-5fa2-4339-9f9e-f62951cf6c05
pancreatic ductal cell,SRR3563701,GSM2173371 1,5b00e9ea-3fc1-4e82-9e81-cf08443cbcd9
pancreatic A cell,SRR3563702,GSM2173372 1,fd1a7d61-e945-4477-acad-a7dfb7a83c95
pancreatic ductal cell,SRR3563703,GSM2173373 1,f8873069-3a21-4f0e-b9c7-7e0970c8e941
type B pancreatic cell,SRR3563704,GSM2173374 1,f5abff00-5adb-47b8-b689-ba8e57d7a025
pancreatic ductal cell,SRR3563705,GSM2173375 1,bfaa1a86-053b-4766-9743-3c61320ee7c6
pancreatic ductal cell,SRR3563706,GSM2173376 1,913e6b2b-585b-4616-baa6-e7354f4cf909
pancreatic A cell,SRR3563707,GSM2173377 1,7497ccb3-7eb0-4a75-8690-671ec47d8489
pancreatic ductal cell,SRR3563708,GSM2173378 1,c959ac09-e5b1-4cb0-bb45-5434d82152cd
pancreatic ductal cell,SRR3563709,GSM2173379 1,725ef122-5b47-4c0a-85b9-aa8db1a3057a
pancreatic D cell,SRR3563710,GSM2173380 1,3caa3e7b-63db-44d2-a370-e26ed829e398
pancreatic A cell,SRR3563711,GSM2173381 1,e7fa19f7-0c27-424b-974f-99f0ee4032d8
pancreatic ductal cell,SRR3563712,GSM2173382 1,8820358e-65df-48a6-b037-e3cf8ba6bafe
pancreatic ductal cell,SRR3563713,GSM2173383 1,0a0d9959-952f-4012-ba12-f9538a6514fe
pancreatic A cell,SRR3563714,GSM2173384 1,ce9391ff-3c58-40df-9ff2-66360dd0ebad
pancreatic ductal cell,SRR3563715,GSM2173385 1,989da11c-3c2d-4773-908f-8c8fe3a11e31
pancreatic A cell,SRR3563716,GSM2173386 1,410092ab-0f8b-4f1f-9522-4885d02d60fb
pancreatic ductal cell,SRR3563717,GSM2173387 1,6230455d-9e3a-4443-9e97-767dc7220325
pancreatic ductal cell,SRR3563718,GSM2173388 1,e42dca95-2ada-49dd-bf01-f370fe9cf5ec
acinar cell,SRR3563719,GSM2173389 1,30de2cef-d21e-4880-8eed-1904be6dc614
pancreatic A cell,SRR3563720,GSM2173390 1,68aca9dc-b3d4-4472-bd50-7647ce98e974
pancreatic A cell,SRR3563721,GSM2173391 1,4cd11a52-e8a6-4366-9d8e-4d8d513016c8
pancreatic A cell,SRR3563722,GSM2173392 1,4fb9cdcb-ea3f-42c8-b047-cfebced9c590
pancreatic A cell,SRR3563723,GSM2173393 1,210b2759-3472-4aa6-a1ae-67f2ccc4f129
pancreatic ductal cell,SRR3563724,GSM2173394 1,c199a1ed-a38b-4698-ba2a-f4cd6a59bd97
pancreatic ductal cell,SRR3563725,GSM2173395 1,5a65a0c4-b75a-44cb-854d-070fd52b0d87
pancreatic ductal cell,SRR3563726,GSM2173396 1,a311dfbb-fbc9-4d58-b8eb-d40e950b3455
pancreatic ductal cell,SRR3563727,GSM2173397 1,584e0fa0-d88d-4139-8429-8980f0aba882
pancreatic ductal cell,SRR3563728,GSM2173398 1,111ae62b-b4a5-44a3-b081-df4512572fd3
pancreatic ductal cell,SRR3563729,GSM2173399 1,d506948d-f92a-492c-8ea6-941f0d51d510
pancreatic ductal cell,SRR3563730,GSM2173400 1,8a8b17b4-35f1-41be-8e1c-7dbd2c53c264
pancreatic ductal cell,SRR3563731,GSM2173401 1,cb8a84b2-7813-40d1-8dc6-e6e693c15117
pancreatic ductal cell,SRR3563732,GSM2173402 1,b8e324a6-0398-4826-ac01-3a7918ab9ed0
pancreatic ductal cell,SRR3563733,GSM2173403 1,93ac5a4b-afea-48c6-861e-c3d8616ee88d
type B pancreatic cell,SRR3563734,GSM2173404 1,d818851a-c69f-4f48-abf7-a637adffd61d
pancreatic A cell,SRR3563735,GSM2173405 1,8571f98d-5a4a-4889-b404-98e59e40de9d
pancreatic ductal cell,SRR3563736,GSM2173406 1,55a4ff1a-4a9b-4ffa-b378-962c4bdf9387
pancreatic ductal cell,SRR3563737,GSM2173407 1,94ac9573-3b82-4de8-a843-ccb178163da5
pancreatic A cell,SRR3563738,GSM2173408 1,a59a076a-0720-42b3-9674-9aafdd3cb8c8
